merchant_id,customer_id,customer_city,locality,pincode,region,customer_type,age_group,gender,signup_date,total_orders,lifetime_value,preferred_channel,last_purchase_date,source,source_row_id
M001,CUST000001,Ahmedabad,Bopal,380058,West,Returning,25-34,Male,2024-09-11,13,9871.36,Instagram,2024-11-30,customer_csv,CUST_ROW_000001
M001,CUST000002,Bangalore,Hebbal,560024,South,Returning,18-24,Male,2024-12-06,19,21425.35,Facebook,2024-03-15,customer_csv,CUST_ROW_000002
M001,CUST000003,Pune,Viman Nagar,411014,West,New,25-34,Female,2023-07-08,3,1859.28,Instagram,2024-01-16,customer_csv,CUST_ROW_000003
M001,CUST000004,Ahmedabad,Vastrapur,380054,West,New,35-44,Female,2024-10-14,3,827.94,Instagram,2024-03-08,customer_csv,CUST_ROW_000004
M001,CUST000005,Bangalore,Yelahanka,560064,South,Returning,25-34,Female,2024-09-02,10,5847.3,Instagram,2024-02-10,customer_csv,CUST_ROW_000005
M001,CUST000006,Jaipur,Vaishali Nagar,302021,North,Returning,25-34,Female,2024-01-18,8,8653.63,Facebook,2024-03-11,customer_csv,CUST_ROW_000006
M001,CUST000007,Bangalore,HSR Layout,560102,South,New,35-44,Male,2023-10-04,4,1245.11,WhatsApp,2024-04-13,customer_csv,CUST_ROW_000007
M001,CUST000008,Delhi,Lajpat Nagar,110024,North,High-Value,55+,Female,2024-05-16,51,115949.38,Google Ads,2024-08-06,customer_csv,CUST_ROW_000008
M001,CUST000009,Bangalore,Koramangala,560034,South,Returning,35-44,Female,2024-02-08,20,16403.69,Email,2024-01-20,customer_csv,CUST_ROW_000009
M001,CUST000010,Bangalore,Electronic City,560100,South,Returning,45-54,Female,2023-09-09,19,15775.61,Google Ads,2024-01-21,customer_csv,CUST_ROW_000010
M001,CUST000011,Bangalore,Hebbal,560024,South,Returning,55+,Male,2024-03-26,15,16612.77,WhatsApp,2024-05-26,customer_csv,CUST_ROW_000011
M001,CUST000012,Bangalore,JP Nagar,560078,South,New,45-54,Female,2023-05-26,4,2459.79,Facebook,2024-09-13,customer_csv,CUST_ROW_000012
M001,CUST000013,Bangalore,Yelahanka,560064,South,High-Value,35-44,Male,2024-02-28,51,79891.8,Facebook,2024-10-29,customer_csv,CUST_ROW_000013
M001,CUST000014,Hyderabad,Jubilee Hills,500033,South,New,25-34,Female,2024-12-29,2,1118.37,Instagram,2024-02-28,customer_csv,CUST_ROW_000014
