merchant_id,content_id,campaign_id,product_id,sku,channel,content_type,caption_angle,scheduled_datetime,published_datetime,engagements,likes,comments,shares,saves,clicks,conversions,status,source,source_row_id
M001,CONT000001,NA,PROD000188,SKU000188,Email,Email,premium,2024-01-28 10:55:20,2024-01-28 12:02:20,1271,872,68,93,57,203,13,published,content_calendar_csv,CONT_ROW_000001
M001,CONT000002,CAMP002583,PROD000375,SKU000375,Email,Email,discount,2024-06-13 07:10:50,2024-06-13 08:41:50,400,164,18,19,14,27,1,failed,content_calendar_csv,CONT_ROW_000002
M001,CONT000003,CAMP004663,PROD000318,SKU000318,WhatsApp,WhatsApp Broadcast,new_launch,2024-08-25 16:25:07,2024-08-25 17:35:07,732,455,73,45,63,195,15,failed,content_calendar_csv,CONT_ROW_000003
M001,CONT000004,CAMP002475,PROD000304,SKU000304,Email,Email,utility,2024-08-31 00:43:32,2024-08-31 02:26:32,1298,754,112,64,106,71,5,published,content_calendar_csv,CONT_ROW_000004
M001,CONT000005,CAMP000728,PROD000031,SKU000031,Facebook,Carousel,new_launch,2024-08-17 14:57:22,2024-08-17 16:19:22,5100,2434,282,242,562,356,5,published,content_calendar_csv,CONT_ROW_000005
M001,CONT000006,CAMP002692,PROD000316,SKU000316,Facebook,Static Post,comfort,2024-05-22 09:31:32,2024-05-22 10:01:32,1792,860,76,112,244,71,4,published,content_calendar_csv,CONT_ROW_000006
M001,CONT000007,CAMP002476,PROD000237,SKU000237,Instagram,Static Post,new_launch,2024-10-31 04:46:05,2024-10-31 05:57:05,1589,929,181,70,78,149,7,published,content_calendar_csv,CONT_ROW_000007
M001,CONT000008,CAMP001398,PROD000470,SKU000470,WhatsApp,WhatsApp Broadcast,festive,2024-02-24 06:13:27,2024-02-24 06:38:27,147,69,17,5,17,34,2,published,content_calendar_csv,CONT_ROW_000008
M001,CONT000009,CAMP002354,PROD000199,SKU000199,LinkedIn,Static Post,comfort,2024-12-27 14:33:34,2024-12-27 14:55:34,1428,622,57,71,77,55,2,failed,content_calendar_csv,CONT_ROW_000009
M001,CONT000010,CAMP000254,PROD000187,SKU000187,Email,Email,premium,2024-11-16 17:12:15,2024-11-16 17:49:15,1353,889,133,88,127,132,9,published,content_calendar_csv,CONT_ROW_000010
M001,CONT000011,CAMP003863,PROD000435,SKU000435,Email,Email,lifestyle,2024-05-18 11:36:51,2024-05-18 12:24:51,2452,1440,139,94,147,239,19,published,content_calendar_csv,CONT_ROW_000011
M001,CONT000012,CAMP000849,PROD000182,SKU000182,WhatsApp,WhatsApp Broadcast,festive,2024-01-12 00:29:11,2024-01-12 00:36:11,611,314,32,40,47,117,20,published,content_calendar_csv,CONT_ROW_000012
M001,CONT000013,CAMP001258,PROD000083,SKU000083,WhatsApp,WhatsApp Broadcast,utility,2024-11-16 12:25:55,2024-11-16 13:43:55,246,152,28,11,11,25,2,published,content_calendar_csv,CONT_ROW_000013
M001,CONT000014,CAMP002617,PROD000332,SKU000332,LinkedIn,Carousel,premium,2024-04-27 22:09:16,2024-04-28 00:03:16,1871,1195,59,70,191,131,6,published,content_calendar_csv,CONT_ROW_000014
M001,CONT000015,CAMP003535,PROD000495,SKU000495,Instagram,Static Post,utility,2024-03-05 08:24:19,2024-03-05 08:41:19,3970,2157,262,241,303,280,12,failed,content_calendar_csv,CONT_ROW_000015
M001,CONT000016,CAMP001543,PROD000310,SKU000310,LinkedIn,Static Post,new_launch,2024-04-08 19:45:12,2024-04-08 20:38:12,648,373,71,24,94,38,0,scheduled,content_calendar_csv,CONT_ROW_000016
M001,CONT000017,CAMP000329,PROD000076,SKU000076,Facebook,Story,premium,2024-06-06 09:39:25,2024-06-06 11:27:25,1949,1145,229,122,130,172,7,published,content_calendar_csv,CONT_ROW_000017
M001,CONT000018,CAMP001386,PROD000221,SKU000221,Instagram,Static Post,limited_stock,2024-07-03 04:57:29,2024-07-03 06:10:29,4132,2154,267,186,289,371,23,published,content_calendar_csv,CONT_ROW_000018
M001,CONT000019,NA,PROD000450,SKU000450,LinkedIn,Static Post,new_launch,2024-02-13 06:19:37,2024-02-13 07:40:37,467,276,54,14,53,13,0,failed,content_calendar_csv,CONT_ROW_000019
M001,CONT000020,CAMP003562,PROD000340,SKU000340,Facebook,Reel,festive,2024-04-22 21:03:23,2024-04-22 23:00:23,5632,2507,669,198,219,308,14,published,content_calendar_csv,CONT_ROW_000020
M001,CONT000021,NA,PROD000372,SKU000372,Instagram,Reel,lifestyle,2024-08-09 00:37:44,2024-08-09 00:39:44,862,523,36,29,44,22,0,published,content_calendar_csv,CONT_ROW_000021
M001,CONT000022,CAMP000609,PROD000292,SKU000292,Email,Email,festive,2024-08-08 12:57:40,2024-08-08 13:48:40,1637,823,144,99,191,142,8,scheduled,content_calendar_csv,CONT_ROW_000022
M001,CONT000023,CAMP000928,PROD000306,SKU000306,WhatsApp,WhatsApp Broadcast,lifestyle,2024-08-14 15:25:13,2024-08-14 16:37:13,67,38,3,3,3,20,1,published,content_calendar_csv,CONT_ROW_000023
M001,CONT000024,CAMP004400,PROD000001,SKU000001,Instagram,Story,comfort,2024-06-16 13:17:08,2024-06-16 15:06:08,888,415,69,18,77,66,1,published,content_calendar_csv,CONT_ROW_000024
M001,CONT000025,CAMP004899,PROD000244,SKU000244,Email,Email,comfort,2024-11-28 09:21:28,2024-11-28 10:05:28,743,312,38,30,41,94,10,published,content_calendar_csv,CONT_ROW_000025
M001,CONT000026,CAMP004568,PROD000346,SKU000346,Facebook,Carousel,festive,2024-10-06 15:08:43,2024-10-06 16:48:43,3195,1696,194,254,293,210,6,failed,content_calendar_csv,CONT_ROW_000026
M001,CONT000027,CAMP000772,PROD000312,SKU000312,Email,Email,social_proof,2024-12-01 22:46:12,2024-12-01 23:35:12,1233,493,38,90,83,162,10,cancelled,content_calendar_csv,CONT_ROW_000027
M001,CONT000028,CAMP001868,PROD000432,SKU000432,Instagram,Reel,festive,2024-07-07 04:12:54,2024-07-07 05:19:54,4217,2684,425,292,493,138,6,published,content_calendar_csv,CONT_ROW_000028
M001,CONT000029,CAMP000409,PROD000442,SKU000442,Instagram,Reel,premium,2024-02-26 19:18:53,2024-02-26 21:03:53,11465,5294,595,631,387,796,45,scheduled,content_calendar_csv,CONT_ROW_000029
M001,CONT000030,CAMP002375,PROD000121,SKU000121,Instagram,Reel,festive,2024-06-27 12:59:38,2024-06-27 14:06:38,14432,9020,1145,1125,2074,890,53,failed,content_calendar_csv,CONT_ROW_000030
M001,CONT000031,CAMP002481,PROD000407,SKU000407,Instagram,Story,premium,2024-11-21 06:42:18,2024-11-21 08:07:18,4845,3332,175,375,434,292,14,published,content_calendar_csv,CONT_ROW_000031
M001,CONT000032,CAMP003096,PROD000074,SKU000074,LinkedIn,Carousel,festive,2024-09-25 02:11:11,2024-09-25 04:08:11,1603,868,125,82,207,132,3,failed,content_calendar_csv,CONT_ROW_000032
M001,CONT000033,CAMP002375,PROD000121,SKU000121,Email,Email,social_proof,2024-04-06 18:23:03,2024-04-06 19:42:03,2566,1054,85,172,250,236,18,published,content_calendar_csv,CONT_ROW_000033
M001,CONT000034,CAMP002819,PROD000045,SKU000045,Facebook,Static Post,festive,2024-02-19 01:25:41,2024-02-19 02:27:41,419,198,29,19,59,11,0,published,content_calendar_csv,CONT_ROW_000034
M001,CONT000035,CAMP000489,PROD000057,SKU000057,WhatsApp,WhatsApp Broadcast,lifestyle,2024-03-15 07:34:44,2024-03-15 09:05:44,327,179,34,19,47,34,7,published,content_calendar_csv,CONT_ROW_000035
M001,CONT000036,CAMP004580,PROD000384,SKU000384,Instagram,Static Post,discount,2024-09-21 16:51:36,2024-09-21 18:31:36,1806,930,99,67,230,56,3,scheduled,content_calendar_csv,CONT_ROW_000036
M001,CONT000037,CAMP002908,PROD000015,SKU000015,Facebook,Carousel,everyday_style,2024-05-12 12:41:35,2024-05-12 13:48:35,4309,2342,310,220,168,292,15,published,content_calendar_csv,CONT_ROW_000037
M001,CONT000038,CAMP004294,PROD000438,SKU000438,LinkedIn,Static Post,limited_stock,2024-02-12 15:48:14,2024-02-12 16:31:14,1621,1133,75,84,137,47,2,published,content_calendar_csv,CONT_ROW_000038
M001,CONT000039,CAMP002518,PROD000318,SKU000318,Instagram,Reel,utility,2024-02-15 05:43:06,2024-02-15 06:00:06,12450,7949,686,487,559,662,7,published,content_calendar_csv,CONT_ROW_000039
M001,CONT000040,CAMP002966,PROD000119,SKU000119,Instagram,Carousel,new_launch,2024-04-06 10:54:00,2024-04-06 11:11:00,13849,5842,1185,864,832,1213,79,published,content_calendar_csv,CONT_ROW_000040
M001,CONT000041,NA,PROD000295,SKU000295,Instagram,Carousel,new_launch,2024-03-21 04:56:04,2024-03-21 05:43:04,3644,1959,260,114,145,181,7,scheduled,content_calendar_csv,CONT_ROW_000041
M001,CONT000042,CAMP003049,PROD000494,SKU000494,LinkedIn,Static Post,premium,2024-07-19 02:11:44,2024-07-19 03:00:44,924,507,33,36,109,68,3,published,content_calendar_csv,CONT_ROW_000042
M001,CONT000043,CAMP003213,PROD000035,SKU000035,WhatsApp,WhatsApp Broadcast,limited_stock,2024-05-20 00:25:13,2024-05-20 00:36:13,120,54,13,9,11,38,4,failed,content_calendar_csv,CONT_ROW_000043
M001,CONT000044,CAMP004756,PROD000206,SKU000206,Email,Email,festive,2024-08-08 08:00:23,2024-08-08 09:01:23,1239,553,50,43,88,133,7,scheduled,content_calendar_csv,CONT_ROW_000044
M001,CONT000045,CAMP004962,PROD000114,SKU000114,Instagram,Carousel,new_launch,2024-01-31 23:08:56,2024-01-31 23:56:56,12366,7137,1214,690,714,988,43,published,content_calendar_csv,CONT_ROW_000045
M001,CONT000046,CAMP003386,PROD000128,SKU000128,Email,Email,discount,2024-09-27 03:02:50,2024-09-27 04:56:50,1323,649,121,71,42,186,19,published,content_calendar_csv,CONT_ROW_000046
M001,CONT000047,CAMP002769,PROD000044,SKU000044,WhatsApp,WhatsApp Broadcast,premium,2024-01-30 06:59:54,2024-01-30 08:13:54,437,303,25,29,60,141,34,published,content_calendar_csv,CONT_ROW_000047
M001,CONT000048,CAMP004411,PROD000372,SKU000372,Email,Email,comfort,2024-03-04 09:06:28,2024-03-04 09:48:28,2729,1898,88,118,225,458,52,published,content_calendar_csv,CONT_ROW_000048
M001,CONT000049,CAMP004834,PROD000042,SKU000042,WhatsApp,WhatsApp Broadcast,festive,2024-11-23 19:33:09,2024-11-23 20:42:09,657,443,46,29,86,156,15,published,content_calendar_csv,CONT_ROW_000049
M001,CONT000050,CAMP000093,PROD000317,SKU000317,Instagram,Story,utility,2024-10-05 16:29:13,2024-10-05 17:29:13,4662,2023,212,219,352,160,10,published,content_calendar_csv,CONT_ROW_000050
M001,CONT000051,CAMP003491,PROD000001,SKU000001,LinkedIn,Carousel,premium,2024-09-25 22:38:08,2024-09-25 23:57:08,1141,563,96,83,160,97,5,published,content_calendar_csv,CONT_ROW_000051
M001,CONT000052,CAMP000783,PROD000482,SKU000482,LinkedIn,Static Post,comfort,2024-11-05 18:07:27,2024-11-05 18:29:27,1775,1172,203,127,139,50,2,published,content_calendar_csv,CONT_ROW_000052
M001,CONT000053,NA,PROD000236,SKU000236,LinkedIn,Carousel,discount,2024-09-18 08:28:22,2024-09-18 10:28:22,513,208,48,14,32,23,0,published,content_calendar_csv,CONT_ROW_000053
M001,CONT000054,CAMP001900,PROD000432,SKU000432,LinkedIn,Static Post,comfort,2024-10-11 17:21:18,2024-10-11 17:28:18,1363,545,89,102,128,58,1,published,content_calendar_csv,CONT_ROW_000054
M001,CONT000055,CAMP000009,PROD000423,SKU000423,Email,Email,comfort,2024-09-08 10:09:37,2024-09-08 11:15:37,384,229,19,20,24,53,2,scheduled,content_calendar_csv,CONT_ROW_000055
M001,CONT000056,CAMP001484,PROD000205,SKU000205,Facebook,Story,premium,2024-01-25 20:48:22,2024-01-25 21:35:22,2383,1007,145,186,211,186,6,failed,content_calendar_csv,CONT_ROW_000056
M001,CONT000057,NA,PROD000463,SKU000463,Instagram,Carousel,social_proof,2024-05-04 01:03:09,2024-05-04 01:25:09,4961,3452,585,307,648,265,8,failed,content_calendar_csv,CONT_ROW_000057
M001,CONT000058,CAMP003024,PROD000058,SKU000058,Facebook,Carousel,utility,2024-02-12 02:50:22,2024-02-12 04:48:22,746,466,62,48,27,40,2,published,content_calendar_csv,CONT_ROW_000058
M001,CONT000059,CAMP002477,PROD000022,SKU000022,Instagram,Story,new_launch,2024-10-18 23:40:06,2024-10-19 01:24:06,2546,1252,93,76,96,133,6,published,content_calendar_csv,CONT_ROW_000059
M001,CONT000060,CAMP004266,PROD000001,SKU000001,Email,Email,premium,2024-09-20 20:55:52,2024-09-20 21:04:52,2421,1622,202,126,287,220,7,cancelled,content_calendar_csv,CONT_ROW_000060
M001,CONT000061,CAMP004347,PROD000306,SKU000306,Email,Email,lifestyle,2024-09-14 18:01:29,2024-09-14 19:01:29,2059,956,82,128,293,354,14,published,content_calendar_csv,CONT_ROW_000061
M001,CONT000062,CAMP001708,PROD000408,SKU000408,Instagram,Story,lifestyle,2024-12-18 19:27:15,2024-12-18 20:41:15,3350,1507,324,81,346,129,6,scheduled,content_calendar_csv,CONT_ROW_000062
M001,CONT000063,CAMP000884,PROD000319,SKU000319,Instagram,Carousel,festive,2024-09-28 07:37:06,2024-09-28 08:54:06,1848,1233,207,146,218,38,0,published,content_calendar_csv,CONT_ROW_000063
M001,CONT000064,CAMP004675,PROD000326,SKU000326,LinkedIn,Carousel,comfort,2024-12-23 16:53:40,2024-12-23 17:34:40,841,443,66,30,34,53,2,published,content_calendar_csv,CONT_ROW_000064
M001,CONT000065,CAMP000850,PROD000152,SKU000152,LinkedIn,Carousel,lifestyle,2024-09-20 08:29:01,2024-09-20 08:32:01,1689,849,182,37,123,141,3,scheduled,content_calendar_csv,CONT_ROW_000065
M001,CONT000066,CAMP000707,PROD000265,SKU000265,Email,Email,lifestyle,2024-10-05 11:54:41,2024-10-05 13:23:41,1969,1013,181,98,151,205,18,cancelled,content_calendar_csv,CONT_ROW_000066
M001,CONT000067,CAMP003576,PROD000232,SKU000232,Instagram,Carousel,premium,2024-01-16 04:37:03,2024-01-16 05:41:03,14764,9159,1639,624,1613,305,7,published,content_calendar_csv,CONT_ROW_000067
M001,CONT000068,CAMP004943,PROD000361,SKU000361,Email,Email,new_launch,2024-03-23 04:04:41,2024-03-23 04:36:41,471,255,28,35,47,41,2,published,content_calendar_csv,CONT_ROW_000068
M001,CONT000069,CAMP004840,PROD000327,SKU000327,LinkedIn,Carousel,social_proof,2024-07-28 10:12:12,2024-07-28 11:52:12,537,278,29,21,65,32,1,published,content_calendar_csv,CONT_ROW_000069
M001,CONT000070,CAMP003519,PROD000483,SKU000483,Instagram,Story,everyday_style,2024-11-03 10:52:46,2024-11-03 11:20:46,666,392,46,50,29,51,1,published,content_calendar_csv,CONT_ROW_000070
M001,CONT000071,CAMP003911,PROD000001,SKU000001,Instagram,Carousel,social_proof,2024-03-08 22:17:38,2024-03-08 23:26:38,11664,5975,476,585,1125,1114,45,published,content_calendar_csv,CONT_ROW_000071
M001,CONT000072,CAMP002643,PROD000113,SKU000113,WhatsApp,WhatsApp Broadcast,utility,2024-05-24 03:34:43,2024-05-24 04:21:43,94,42,9,6,7,25,2,published,content_calendar_csv,CONT_ROW_000072
