merchant_id,campaign_id,product_id,sku,campaign_name,channel,impressions,clicks,spend,conversions,attributed_revenue,campaign_date,post_time,creative_type,target_segment,customer_city,objective,campaign_status,source,source_row_id
M001,CAMP000001,PROD000174,SKU000174,Festive Gifting Guide,Facebook,24381,1573,25709.17,74,149489.59,2024-06-13,21:00,Story,working_women,Bangalore,new_launch,failed,campaign_csv,CAMP_ROW_000001
M001,CAMP000002,PROD000209,SKU000209,Festive Gifting Guide,Instagram,196499,3656,84362.83,106,93821.88,2024-03-30,18:00,Static Post,family_buyers,Chennai,traffic,active,campaign_csv,CAMP_ROW_000002
M001,CAMP000003,PROD000016,SKU000016,Diwali Streetwear Push,Instagram,269739,7562,33661.58,211,973542.52,2024-10-14,18:00,Reel,college_students,Bangalore,new_launch,completed,campaign_csv,CAMP_ROW_000003
M001,CAMP000004,PROD000428,SKU000428,Independence Day Flash Sale,Instagram,279880,12504,46658.36,203,510216.69,2024-09-18,12:00,Reel,college_students,Bangalore,awareness,completed,campaign_csv,CAMP_ROW_000004
M001,CAMP000005,PROD000474,SKU000474,Monsoon Must-Haves,Facebook,290127,11441,112611.65,320,946082.74,2024-03-23,12:00,Static Post,working_women,Ahmedabad,awareness,completed,campaign_csv,CAMP_ROW_000005
M001,CAMP000006,PROD000072,SKU000072,New Arrivals Reel Blast,Facebook,152296,3884,11842.37,44,170390.36,2024-05-13,15:00,Carousel,family_buyers,Bangalore,traffic,completed,campaign_csv,CAMP_ROW_000006
M001,CAMP000007,PROD000372,SKU000372,Republic Day Rush,Google Ads,8447,430,16632.69,17,16205.22,2024-10-17,21:00,Search Ad,working_women,Mumbai,traffic,completed,campaign_csv,CAMP_ROW_000007
M001,CAMP000008,PROD000352,SKU000352,Fitness Edit Push,Facebook,250223,1356,29592.39,36,73123.6,2024-03-05,09:00,Carousel,college_students,Bangalore,retargeting,completed,campaign_csv,CAMP_ROW_000008
M001,CAMP000009,PROD000423,SKU000423,Weekend Comfort Sale,Instagram,106854,1796,16595.39,63,130535.18,2024-05-19,15:00,Static Post,working_women,Bangalore,traffic,active,campaign_csv,CAMP_ROW_000009
M001,CAMP000010,PROD000061,SKU000061,Weekend Wardrobe,Email,9643,280,371.76,14,31539.71,2024-01-14,19:00,Email,college_students,Pune,traffic,completed,campaign_csv,CAMP_ROW_000010
M001,CAMP000011,PROD000380,SKU000380,Premium Buyer Retargeting,Email,24269,900,1108.65,54,39025.27,2024-06-06,19:00,Email,family_buyers,Ahmedabad,conversions,completed,campaign_csv,CAMP_ROW_000011
M001,CAMP000012,PROD000314,SKU000314,Diwali Streetwear Push,Instagram,105149,4107,22425.35,57,39444.37,2024-08-10,19:00,Reel,premium_buyers,Hyderabad,retention,completed,campaign_csv,CAMP_ROW_000012
M001,CAMP000013,PROD000348,SKU000348,New Arrivals Reel Blast,Instagram,54843,3080,38077.13,151,328746.23,2024-11-11,15:00,Carousel,college_students,Bangalore,conversions,completed,campaign_csv,CAMP_ROW_000013
