merchant_id,product_id,sku,product_name,category,subcategory,brand,price,cost_price,margin_percent,target_segment,customer_type,inventory_count,refund_rate_percent,rating,is_active,launch_date,source,source_row_id
M001,PROD000001,SKU000001,Black Oversized T-Shirt,fashion,oversized_tshirt,UrbanThreads,899,404.55,55.0,college_students,Returning,320,2.5,4.8,true,2024-11-30,product_csv,PROD_ROW_001
M001,PROD000002,SKU000002,Faded Printed Kurta,fashion,kurta,UrbanThreads,399,351.12,12.0,budget_buyers,New,7,17.5,2.7,true,2024-12-05,product_csv,PROD_ROW_002
M001,PROD000003,SKU000003,Pink Minimalist Photo Frame,lifestyle,decor,UrbanThreads,628,454.69,27.6,family_buyers,Returning,215,6.09,3.0,true,2024-08-03,product_csv,PROD_ROW_003
M001,PROD000004,SKU000004,Grey Printed Bedsheet,home,bedsheet,UrbanThreads,2319,842.78,63.66,family_buyers,New,145,3.65,4.4,true,2024-07-05,product_csv,PROD_ROW_004
M001,PROD000005,SKU000005,Teal Crossbody Bag,accessories,handbag,UrbanThreads,4070,2649.17,34.91,working_women,High-Value,262,2.73,2.6,true,2023-04-23,product_csv,PROD_ROW_005
M001,PROD000006,SKU000006,Brown Low Top Sneakers,footwear,sneakers,UrbanThreads,3441,2804.62,18.49,college_students,High-Value,249,11.05,4.9,true,2023-01-12,product_csv,PROD_ROW_006
M001,PROD000007,SKU000007,Pink Linen Bedsheet,home,bedsheet,UrbanThreads,3774,2654.05,29.68,family_buyers,New,160,15.48,3.6,true,2023-09-27,product_csv,PROD_ROW_007
M001,PROD000008,SKU000008,Green Scented Candle,lifestyle,decor,UrbanThreads,2960,2030.13,31.41,family_buyers,High-Value,111,3.9,4.4,true,2024-07-06,product_csv,PROD_ROW_008
M001,PROD000009,SKU000009,Mustard Minimalist Photo Frame,lifestyle,decor,UrbanThreads,2400,2014.29,16.07,family_buyers,Returning,132,2.1,4.7,true,2023-03-22,product_csv,PROD_ROW_009
M001,PROD000010,SKU000010,Maroon Slim Fit Denim Jacket,fashion,jacket,UrbanThreads,4614,2570.05,44.3,streetwear_lovers,New,347,10.03,3.9,true,2023-09-29,product_csv,PROD_ROW_010
M001,PROD000011,SKU000011,Grey Wooden Desk Organiser,lifestyle,decor,UrbanThreads,1222,559.53,54.21,family_buyers,High-Value,342,8.09,4.7,true,2024-04-07,product_csv,PROD_ROW_011
M001,PROD000012,SKU000012,Grey Slim Fit Jeans,fashion,denim_jeans,UrbanThreads,2383,1997.98,16.16,young_professionals,New,311,5.18,2.7,true,2024-10-08,product_csv,PROD_ROW_012
M001,PROD000013,SKU000013,White Slim Fit Jeans,fashion,denim_jeans,UrbanThreads,2352,1907.54,18.9,young_professionals,Returning,352,10.22,3.8,true,2024-08-07,product_csv,PROD_ROW_013
M001,PROD000014,SKU000014,Grey Boho Plant Pot,lifestyle,decor,UrbanThreads,2066,1539.74,25.47,family_buyers,High-Value,230,7.73,3.5,true,2023-02-25,product_csv,PROD_ROW_014
M001,PROD000015,SKU000015,Black Printed Bedsheet,home,bedsheet,UrbanThreads,3681,2441.91,33.66,family_buyers,New,108,4.61,3.6,true,2024-03-08,product_csv,PROD_ROW_015
M001,PROD000016,SKU000016,Blue Retro Runners,footwear,sneakers,UrbanThreads,4580,1567.29,65.78,college_students,High-Value,1,1.96,5.0,true,2023-01-16,product_csv,PROD_ROW_016
M001,PROD000017,SKU000017,Navy Straight Cut Denim,fashion,denim_jeans,UrbanThreads,2988,1748.74,41.47,young_professionals,New,2,8.2,5.0,true,2023-09-29,product_csv,PROD_ROW_017
M001,PROD000018,SKU000018,Red Night Repair Cream,beauty,skincare,UrbanThreads,2292,1753.06,23.51,working_women,New,39,12.0,3.9,true,2023-11-18,product_csv,PROD_ROW_018
M001,PROD000019,SKU000019,Mustard Streetwear Oversized Top,fashion,oversized_tshirt,UrbanThreads,913,314.38,65.57,streetwear_lovers,New,0,19.25,2.7,true,2023-07-10,product_csv,PROD_ROW_019
M001,PROD000020,SKU000020,Pink Breathable Linen Top,fashion,linen_shirt,UrbanThreads,1625,1274.1,21.59,young_professionals,High-Value,9,1.76,2.7,true,2024-11-04,product_csv,PROD_ROW_020
M001,PROD000021,SKU000021,Teal Minimalist Photo Frame,lifestyle,decor,UrbanThreads,1235,594.84,51.83,family_buyers,New,145,8.52,4.2,true,2023-11-04,product_csv,PROD_ROW_021
M001,PROD000022,SKU000022,Teal Vitamin C Serum,beauty,skincare,UrbanThreads,337,201.51,40.2,working_women,New,285,5.05,3.2,true,2023-12-24,product_csv,PROD_ROW_022
M001,PROD000023,SKU000023,Beige Blue Relaxed Jeans,fashion,denim_jeans,UrbanThreads,1645,1001.8,39.1,young_professionals,High-Value,164,12.62,5.0,true,2024-10-31,product_csv,PROD_ROW_023
M001,PROD000024,SKU000024,Pink Wooden Desk Organiser,lifestyle,decor,UrbanThreads,1625,548.49,66.25,family_buyers,New,145,3.19,2.8,true,2024-07-20,product_csv,PROD_ROW_024
M001,PROD000025,SKU000025,Olive Slip-On Sneakers,footwear,sneakers,UrbanThreads,1861,847.34,54.47,college_students,High-Value,334,17.21,3.8,true,2023-09-15,product_csv,PROD_ROW_025
M001,PROD000026,SKU000026,Pink Premium Linen Casual Shirt,fashion,linen_shirt,UrbanThreads,2497,1742.47,30.22,young_professionals,Returning,404,3.49,4.9,false,2023-06-15,product_csv,PROD_ROW_026
M001,PROD000027,SKU000027,Green Printed Bedsheet,home,bedsheet,UrbanThreads,2996,2530.67,15.53,family_buyers,High-Value,472,3.83,2.6,false,2024-01-14,product_csv,PROD_ROW_027
M001,PROD000028,SKU000028,Red Macrame Wall Hanging,lifestyle,decor,UrbanThreads,570,387.86,31.95,family_buyers,Returning,117,13.96,4.2,true,2023-12-29,product_csv,PROD_ROW_028
M001,PROD000029,SKU000029,Mustard Macrame Wall Hanging,lifestyle,decor,UrbanThreads,1368,512.27,62.55,family_buyers,Returning,22,4.41,4.8,true,2024-02-26,product_csv,PROD_ROW_029
M001,PROD000030,SKU000030,Olive Sateen Bedsheet,home,bedsheet,UrbanThreads,3924,1821.9,53.57,family_buyers,New,449,9.94,3.0,true,2024-04-16,product_csv,PROD_ROW_030
M001,PROD000031,SKU000031,Maroon Sling Bag,accessories,handbag,UrbanThreads,2625,2197.08,16.3,working_women,Returning,178,6.29,2.7,true,2023-10-13,product_csv,PROD_ROW_031
M001,PROD000032,SKU000032,Pink Crossbody Bag,accessories,handbag,UrbanThreads,3511,1170.64,66.66,working_women,Returning,101,12.03,5.0,true,2023-02-09,product_csv,PROD_ROW_032
M001,PROD000033,SKU000033,Beige Comfort Joggers,fashion,joggers,UrbanThreads,1492,770.75,48.34,fitness_lifestyle,New,207,18.09,3.0,true,2023-02-15,product_csv,PROD_ROW_033
M001,PROD000034,SKU000034,Black Linen Bedsheet,home,bedsheet,UrbanThreads,2904,1371.35,52.78,family_buyers,Returning,230,2.33,4.2,true,2023-12-05,product_csv,PROD_ROW_034
